titulo,texto,area,subarea
Resumo: consultas SQL com JOIN,"Neste conteudo sao apresentados os conceitos basicos de consultas SQL com JOIN. Sao abordados temas como SQL, JOIN, consultas. Ao final ha exercicios propostos.",Banco de Dados,SQL
Conteudo complementar,Vamos falar sobre criacao de servicos com FastAPI de um jeito facil.,Backend,APIs e Servicos
Tutorial processamento de linguagem natural,"Voce ja parou para pensar em processamento de linguagem natural? De forma simples, e um tema que envolve NLP, texto, linguagem. Sao discutidos erros comuns e como evita-los.",Inteligencia Artificial,Processamento de Linguagem Natural
Anotacoes sobre quando usar NoSQL em vez de SQL,"Documentacao sobre quando usar NoSQL em vez de SQL. Principais topicos: NoSQL, escalabilidade, flexibilidade. Inclui referencias para aprofundamento.",Banco de Dados,NoSQL
Anotacoes sobre interfaces multiplataforma com Flutter,"Voce ja parou para pensar em interfaces multiplataforma com Flutter? De forma simples, e um tema que envolve Flutter, Dart, multiplataforma. Inclui referencias para aprofundamento.",Mobile,Multiplataforma
Tutorial navegacao entre telas no React Native,"Para entender navegacao entre telas no React Native, imagine o seguinte: trata-se de algo relacionado a React Native, navegacao, mobile.",Mobile,Multiplataforma
Guia engenharia de atributos,"Um guia passo a passo sobre engenharia de atributos, com foco em feature engineering, Pandas, modelagem. O conteudo traz exemplos praticos.",Ciencia de Dados,Analise de Dados
Tutorial gerenciamento de estado,"Para entender gerenciamento de estado, imagine o seguinte: trata-se de algo relacionado a React, Redux, estado.",Frontend,Componentes e Estado
Como funciona funcoes serverless,"Um guia a passo sobre funcoes serverless, com em OCI Functions, serverless, cloud.",DevOps e Cloud,Cloud
Resumo: navegacao entre telas no React Native,"Para entender navegacao entre telas no React Native, imagine seguinte: trata-se de relacionado React navegacao, mobile.",Mobile,Multiplataforma
Tutorial testes em aplicacoes mobile,"Um guia passo a passo sobre testes em aplicacoes mobile, com foco em testes, mobile, qualidade.",Mobile,Boas Praticas Mobile
Notas rapidas,"conteudo sao os conceitos basicos de orquestracao containers. Sao abordados temas como Kubernetes, escalabilidade. Sao discutidos comuns e como evita-los.",DevOps e Cloud,Containers
Anotacoes sobre autenticacao com JWT,"Este material aprofunda o tema de autenticacao com JWT, cobrindo JWT, seguranca, autenticacao. Ao final ha exercicios propostos.",Backend,Autenticacao e Seguranca
Guia estilizacao com CSS moderno,Muita gente tem duvida sobre estilizacao com CSS moderno.,Frontend,Estilizacao e Layout
Guia armazenamento local no dispositivo,"Voce ja parou para pensar em armazenamento local no dispositivo? De forma simples, e um tema que envolve SQLite, mobile, persistencia. Ao final ha exercicios propostos.",Mobile,Boas Praticas Mobile
O que e acessibilidade em interfaces web,"Documentacao sobre acessibilidade em interfaces web. Principais topicos: acessibilidade, HTML, UX. Inclui referencias para aprofundamento.",Frontend,Estilizacao e Layout
Guia criacao de servicos com FastAPI,"Voce ja parou para pensar em criacao de servicos com FastAPI? De forma simples, e um tema que envolve Python, FastAPI, API REST. O conteudo tambem aborda visao computacional com CNNs, mencionando CNN, visao computacional, imagens.",Inteligencia Artificial,Deep Learning
O que e deploy automatizado de APIs,"Documentacao sobre deploy automatizado de APIs. Principais topicos: deploy, CI/CD, API REST. Sao discutidos erros comuns e como evita-los.",DevOps e Cloud,Automacao
Introducao a processamento de linguagem natural,"Um guia passo a passo sobre processamento de linguagem natural, com foco em NLP, texto, linguagem. Traz um exemplo do inicio ao fim.",Inteligencia Artificial,Processamento de Linguagem Natural
O que e armazenamento local no dispositivo,Neste conteudo sao apresentados os conceitos basicos de armazenamento local no dispositivo.,Mobile,Boas Praticas Mobile
Entendendo ciclo de vida de uma activity,"Este material aprofunda o tema de ciclo de vida de uma activity, cobrindo Android, Kotlin, ciclo de vida. Sao discutidos erros comuns e como evita-los.",Mobile,Android
Anotacoes sobre funcoes de agregacao e agrupamento,Vamos falar sobre funcoes de agregacao e agrupamento de um jeito facil.,Banco de Dados,SQL
Anotacoes sobre construcao de dashboards,"Um guia passo a passo sobre construcao de dashboards, com foco em dashboard, visualizacao, BI. Ao final ha exercicios propostos.",Ciencia de Dados,Visualizacao
Guia tipagem de componentes com TypeScript,"Para entender tipagem de componentes com TypeScript, imagine o seguinte: trata-se de algo relacionado a TypeScript, React, tipagem. O conteudo traz exemplos praticos.",Frontend,Componentes e Estado
Guia filas de mensagens com RabbitMQ,"Neste conteudo sao apresentados os conceitos basicos de filas de mensagens com RabbitMQ. Sao abordados temas como RabbitMQ, mensageria, assincrono. Inclui referencias para aprofundamento.",Backend,Arquitetura
Introducao a versionamento de codigo com Git,Vamos falar sobre versionamento de codigo com Git de um jeito facil.,DevOps e Cloud,Automacao
Como funciona funcoes serverless,Documentacao sobre funcoes serverless.,DevOps e Cloud,Cloud
Introducao a analise exploratoria de dados,"Para entender analise exploratoria de dados, imagine o seguinte: trata-se de algo relacionado a Python, Pandas, EDA.",Ciencia de Dados,Analise de Dados
Introducao a tipagem de componentes com TypeScript,"Voce ja parou para pensar em tipagem de componentes com TypeScript? De forma simples, e um tema que envolve TypeScript, React, tipagem. Sao discutidos erros comuns e como evita-los. O conteudo tambem aborda funcoes de agregacao e agrupamento, mencionando SQL, GROUP BY, agregacao.",Banco de Dados,SQL
Introducao a funcoes de agregacao e agrupamento,Vamos falar sobre funcoes de agregacao e agrupamento de um jeito facil.,Banco de Dados,SQL
Anotacoes sobre validacao cruzada e overfitting,"Vamos falar sobre validacao cruzada e overfitting de um jeito facil. A ideia central passa por validacao cruzada, overfitting, generalizacao. Sao discutidos erros comuns e como evita-los.",Ciencia de Dados,Avaliacao de Modelos
Introducao a responsividade e mobile first,"Documentacao sobre responsividade e mobile first. Principais topicos: CSS, responsivo, UX. Inclui referencias para aprofundamento.",Frontend,Estilizacao e Layout
O que e navegacao entre telas no React Native,Documentacao sobre entre telas React Native.,Mobile,Multiplataforma
Anotacoes sobre ciclo de vida de uma activity,"aprofunda o tema de ciclo de de uma activity, cobrindo Android, Kotlin, ciclo de vida. Inclui referencias para",Mobile,Android
Introducao a modelagem relacional,Documentacao sobre modelagem relacional.,Banco de Dados,Modelagem
Anotacoes de estudo,"falar sobre containerizacao de aplicacoes com Docker de um jeito facil. ideia central passa por Docker, containers, deploy. Sao discutidos erros comuns e como",DevOps e Cloud,Containers
Introducao a interfaces multiplataforma com Flutter,"Voce ja parou para pensar em interfaces multiplataforma com Flutter? De forma simples, e um tema que envolve Flutter, Dart, multiplataforma. Traz um exemplo do inicio ao fim.",Mobile,Multiplataforma
Introducao a protecao contra ataques comuns,"Um guia passo a passo sobre protecao contra ataques comuns, com foco em seguranca, OWASP, vulnerabilidades. Sao discutidos erros comuns e como evita-los. O conteudo tambem aborda engenharia de atributos, mencionando feature engineering, Pandas, modelagem.",Ciencia de Dados,Analise de Dados
Resumo: limpeza e tratamento de dados,"Voce ja para pensar em limpeza tratamento de dados? De forma simples, e um tema que envolve pre-processamento, qualidade de dados.",Ciencia de Dados,Analise de Dados
Introducao a armazenamento local no dispositivo,"Muita gente tem duvida sobre armazenamento local no dispositivo. Na pratica, tudo gira em torno de SQLite, mobile, persistencia. Sao discutidos erros comuns e como evita-los.",Mobile,Boas Praticas Mobile
Guia pipelines de integracao continua,Documentacao sobre pipelines de continua.,DevOps e Cloud,Automacao
Conteudo complementar,"Documentacao sobre deploy automatizado de APIs. Principais topicos: deploy, CI/CD, API REST. O material e voltado para iniciantes.",DevOps e Cloud,Automacao
Como funciona roteamento em aplicacoes SPA,"Um guia passo a passo sobre roteamento em aplicacoes SPA, com foco em React Router, SPA, navegacao. O conteudo traz exemplos praticos.",Frontend,Integracao
Resumo: containerizacao de aplicacoes com Docker,"Para entender containerizacao de aplicacoes com Docker, imagine o seguinte: trata-se de algo relacionado a Docker, containers, deploy. Traz um exemplo do inicio ao fim.",DevOps e Cloud,Containers
Anotacoes sobre construcao de dashboards,"Este material aprofunda o tema de construcao de dashboards, cobrindo dashboard, visualizacao, BI.",Ciencia de Dados,Visualizacao
Tutorial estilizacao com CSS moderno,"tem duvida sobre estilizacao com CSS moderno. Na pratica, tudo gira em torno de CSS, Flexbox, Grid. Ao ha exercicios propostos.",Frontend,Estilizacao e Layout
Introducao a o que e deep learning,"Um guia passo a passo sobre o que e deep learning, com foco em deep learning, redes neurais, camadas.",Inteligencia Artificial,Deep Learning
Anotacoes sobre o que e machine learning e como funciona,"Um guia passo a passo sobre o que e machine learning e como funciona, com foco em machine learning, aprendizado, modelos. Traz um exemplo do inicio ao fim.",Inteligencia Artificial,Machine Learning
Material de apoio,"Um guia passo a passo sobre arquitetura de microsservicos, com foco em microsservicos, arquitetura, escalabilidade. Ao final ha exercicios propostos.",Backend,Arquitetura
O que e versionamento de codigo com Git,"Documentacao sobre versionamento de codigo com Git. Principais topicos: Git, versionamento, colaboracao. Inclui referencias para aprofundamento.",DevOps e Cloud,Automacao
Material de apoio,"Vamos falar sobre avaliacao de modelos preditivos de um jeito facil. A ideia central passa por metricas, F1-score, validacao. O conteudo traz exemplos praticos.",Ciencia de Dados,Avaliacao de Modelos
Como funciona interfaces multiplataforma com Flutter,"Neste conteudo sao apresentados os conceitos basicos de interfaces multiplataforma com Flutter. Sao abordados temas como Flutter, Dart, multiplataforma. O material e voltado para iniciantes.",Mobile,Multiplataforma
Anotacoes sobre engenharia de atributos,Documentacao sobre engenharia de atributos.,Ciencia de Dados,Analise de Dados
Resumo da aula,Neste conteudo sao apresentados os conceitos basicos de limpeza e tratamento de dados.,Ciencia de Dados,Analise de Dados
Entendendo estilizacao com CSS moderno,"Documentacao sobre estilizacao com CSS moderno. Principais topicos: CSS, Flexbox, Grid. Traz um exemplo do inicio ao fim.",Frontend,Estilizacao e Layout
Guia provisionamento de maquinas virtuais,"Para entender provisionamento de maquinas virtuais, imagine o trata-se de algo Compute, infraestrutura, cloud. discutidos erros comuns e evita-los.",DevOps e Cloud,Cloud
Anotacoes sobre criacao de servicos com FastAPI,"Voce ja parou para pensar em de servicos com FastAPI? forma simples, e um tema que envolve Python, FastAPI, API REST. Ao final ha exercicios propostos. O conteudo tambem aborda formularios e validacao no cliente, mencionando JavaScript, formularios, validacao.",Frontend,Integracao
Anotacoes sobre gerenciamento de estado,"Muita gente tem duvida sobre gerenciamento de estado. Na pratica, tudo gira em torno de React, Redux, estado. Ao final ha exercicios propostos.",Frontend,Componentes e Estado
Como funciona construcao de dashboards,"Um guia passo a passo sobre construcao de dashboards, com foco em dashboard, visualizacao, BI. Traz um exemplo do inicio ao fim. O conteudo tambem aborda containerizacao de aplicacoes com Docker, mencionando Docker, containers, deploy.",Ciencia de Dados,Visualizacao
Anotacoes de estudo,"Este material aprofunda o tema de quando usar NoSQL em vez de SQL, cobrindo NoSQL, escalabilidade, flexibilidade. Sao discutidos erros comuns e como evita-los.",Banco de Dados,NoSQL
Guia introducao a redes neurais,"Voce ja parou para pensar introducao a redes neurais? De forma simples, e um tema envolve neurais, deep learning, neuronios. O material e voltado para",Inteligencia Artificial,Deep Learning
Guia funcoes serverless,"Muita gente tem duvida sobre funcoes serverless. Na pratica, tudo gira em torno de OCI Functions, serverless, cloud. Sao discutidos erros comuns e como evita-los.",DevOps e Cloud,Cloud
Conteudo complementar,"Para entender armazenamento local no dispositivo, imagine o seguinte: trata-se de algo relacionado a SQLite, mobile, Traz um exemplo do inicio ao fim.",Mobile,Boas Praticas Mobile
Material de apoio,"Para entender bancos NoSQL orientados a documentos, imagine o seguinte: trata-se de algo relacionado a MongoDB, NoSQL, documentos. O conteudo traz exemplos praticos.",Banco de Dados,NoSQL
Tutorial APIs REST com Spring Boot,"Muita gente tem duvida sobre APIs REST com Spring Boot. Na pratica, tudo gira em torno de Java, Spring Boot, API REST. Traz um exemplo do inicio ao fim.",Backend,APIs e Servicos
O que e ciclo de vida de uma activity,"Para entender ciclo de vida de uma activity, imagine o seguinte: trata-se de algo relacionado a Android, Kotlin, ciclo de vida. O conteudo tambem aborda quando usar NoSQL em vez de SQL, mencionando NoSQL, escalabilidade, flexibilidade.",Banco de Dados,NoSQL
O que e armazenamento local no dispositivo,"Documentacao sobre armazenamento local no dispositivo. Principais SQLite, persistencia. O e voltado para iniciantes.",Mobile,Boas Praticas Mobile
Notas rapidas,Documentacao sobre endpoints em Node.js.,Backend,APIs e Servicos
Resumo da aula,"Um guia passo a passo provisionamento de maquinas virtuais, foco em OCI Compute, infraestrutura, cloud. O material e voltado para iniciantes. O conteudo tambem aborda interfaces multiplataforma com Flutter, mencionando Flutter, Dart, multiplataforma.",DevOps e Cloud,Cloud
Entendendo desenvolvimento de apps Android,"Um guia passo a passo sobre de apps Android, foco Android, Kotlin, mobile. O material e voltado",Mobile,Android
Material de apoio,"Muita gente tem duvida sobre protecao contra ataques comuns. Na pratica, tudo gira em torno de seguranca, OWASP, vulnerabilidades. Traz um exemplo do inicio ao fim.",Backend,Autenticacao e Seguranca
Guia ciclo de vida de uma activity,"Para entender ciclo de vida de uma activity, imagine o seguinte: trata-se de algo relacionado a Android, Kotlin, ciclo de vida. Inclui referencias para aprofundamento.",Mobile,Android
Conteudo complementar,"Muita gente tem duvida sobre deploy automatizado de APIs. Na pratica, tudo gira em torno de deploy, CI/CD, API REST. Sao discutidos erros comuns e como evita-los.",DevOps e Cloud,Automacao
Resumo: acessibilidade em interfaces web,"Para entender acessibilidade em interfaces web, imagine o seguinte: trata-se de algo relacionado a acessibilidade, HTML, UX. Sao discutidos erros comuns e como evita-los.",Frontend,Estilizacao e Layout
Resumo: navegacao entre telas no React Native,"Para entender navegacao entre telas no React Native, imagine o seguinte: trata-se de algo relacionado a React Native, navegacao, mobile. Inclui referencias para aprofundamento.",Mobile,Multiplataforma
Anotacoes de estudo,"Vamos falar sobre analise exploratoria de dados de um jeito facil. A ideia central passa por Python, Pandas, EDA. Sao discutidos erros comuns e como evita-los.",Ciencia de Dados,Analise de Dados
Introducao a navegacao entre telas no React Native,"Voce ja parou para pensar em navegacao entre telas no React Native? De forma simples, e um tema que envolve React Native, navegacao, mobile.",Mobile,Multiplataforma
Anotacoes de estudo,"Para containerizacao de com Docker, imagine o de algo a Docker, deploy. Sao erros e evita-los.",DevOps e Cloud,Containers
Resumo: ciclo de vida de uma activity,Vamos falar sobre ciclo de vida de uma activity de um jeito facil.,Mobile,Android
Tutorial roteamento em aplicacoes SPA,"Vamos falar sobre roteamento em aplicacoes SPA de um jeito facil. A ideia central passa por React Router, SPA, navegacao. O material e voltado para iniciantes.",Frontend,Integracao
Como funciona interfaces multiplataforma com Flutter,"Voce ja parou para pensar em interfaces multiplataforma com Flutter? De forma simples, e um tema que envolve Flutter, Dart, multiplataforma. O conteudo traz exemplos praticos.",Mobile,Multiplataforma
Introducao a protecao contra ataques comuns,"Este material aprofunda o tema de protecao contra ataques comuns, cobrindo seguranca, OWASP, vulnerabilidades. O material e voltado para iniciantes.",Backend,Autenticacao e Seguranca
Guia avaliacao de modelos preditivos,"Um guia passo a sobre avaliacao modelos preditivos, com foco em metricas, F1-score, validacao. um exemplo ao fim.",Ciencia de Dados,Avaliacao de Modelos
Introducao a avaliacao de modelos preditivos,Vamos falar sobre avaliacao de modelos preditivos de um jeito facil.,Ciencia de Dados,Avaliacao de Modelos
Entendendo gerenciamento de estado,"Neste conteudo sao apresentados os conceitos basicos de gerenciamento de estado. Sao abordados temas como React, Redux, estado. O conteudo traz exemplos praticos.",Frontend,Componentes e Estado
Tutorial testes em aplicacoes mobile,"Este material aprofunda o tema de testes em aplicacoes mobile, cobrindo testes, mobile, qualidade. O material e voltado para iniciantes.",Mobile,Boas Praticas Mobile
Introducao a construcao de dashboards,"Para entender construcao de dashboards, imagine o seguinte: trata-se de algo relacionado a dashboard, visualizacao, BI. referencias para aprofundamento.",Ciencia de Dados,Visualizacao
Anotacoes sobre vetorizacao de textos com TF-IDF,Neste conteudo sao apresentados os conceitos basicos de vetorizacao de textos com TF-IDF.,Inteligencia Artificial,Processamento de Linguagem Natural
Tutorial desenvolvimento de apps Android,"Neste conteudo sao apresentados os conceitos basicos desenvolvimento apps temas como Android, Kotlin, mobile. Sao discutidos comuns e como evita-los. O conteudo tambem aborda containerizacao de aplicacoes com Docker, mencionando Docker, containers, deploy.",Mobile,Android
Anotacoes de estudo,Muita tem duvida sobre bancos NoSQL orientados a documentos.,Banco de Dados,NoSQL
Resumo: agrupamento com KMeans,"Documentacao sobre agrupamento com KMeans. Principais topicos: KMeans, clusterizacao, nao supervisionado. Traz um exemplo do inicio ao fim.",Inteligencia Artificial,Machine Learning
Conteudo complementar,"Documentacao sobre processamento de linguagem natural. Principais topicos: NLP, texto, linguagem. O conteudo traz exemplos praticos. O conteudo tambem aborda endpoints em Node.js, mencionando Node.js, Express, API REST.",Backend,APIs e Servicos
Como funciona similaridade textual entre documentos,"Este material aprofunda o tema de similaridade textual entre documentos, cobrindo similaridade, cosseno, NLP.",Inteligencia Artificial,Processamento de Linguagem Natural
Resumo da aula,Documentacao sobre similaridade textual entre documentos.,Inteligencia Artificial,Processamento de Linguagem Natural
Resumo: provisionamento de maquinas virtuais,Documentacao sobre de maquinas virtuais.,DevOps e Cloud,Cloud
Introducao a agrupamento com KMeans,"Vamos falar sobre agrupamento com KMeans de um jeito facil. A ideia central passa por KMeans, clusterizacao, nao supervisionado. Sao discutidos erros comuns e como evita-los.",Inteligencia Artificial,Machine Learning
Entendendo modelagem relacional,"material aprofunda o de modelagem relacional, cobrindo normalizacao, Ao final ha exercicios propostos. O conteudo tambem aborda containerizacao de aplicacoes com Docker, mencionando Docker, containers, deploy.",Banco de Dados,Modelagem
Entendendo funcoes de agregacao e agrupamento,"Este material aprofunda o tema de funcoes de agregacao e agrupamento, cobrindo SQL, GROUP BY, agregacao. Ao final ha exercicios propostos.",Banco de Dados,SQL
Entendendo testes em aplicacoes mobile,"Este material aprofunda o tema de testes em aplicacoes mobile, cobrindo testes, mobile, qualidade. Inclui referencias para aprofundamento.",Mobile,Boas Praticas Mobile
Guia testes em aplicacoes mobile,Vamos falar sobre testes em aplicacoes mobile de um jeito facil.,Mobile,Boas Praticas Mobile
Resumo: orquestracao de containers,"parou para pensar em orquestracao de containers? De forma simples, e um tema que Kubernetes, escalabilidade. Sao discutidos como evita-los.",DevOps e Cloud,Containers
Guia roteamento em aplicacoes SPA,"Este material aprofunda o tema de roteamento em aplicacoes SPA, cobrindo React Router, SPA, navegacao.",Frontend,Integracao
Notas rapidas,"Um guia passo a passo sobre o que e deep learning, com foco em deep learning, redes neurais, camadas. Traz um exemplo do inicio ao fim.",Inteligencia Artificial,Deep Learning
Notas rapidas,"Voce ja para pensar em avaliacao de preditivos? De forma simples, e um tema que envolve F1-score, validacao.",Ciencia de Dados,Avaliacao de Modelos
Anotacoes sobre modelagem relacional,"Vamos falar sobre modelagem relacional de um jeito facil. A central passa por modelagem, normalizacao, SQL. O material e voltado para iniciantes.",Banco de Dados,Modelagem
Anotacoes sobre navegacao entre telas no React Native,"Este material aprofunda o tema de navegacao entre telas no React Native, cobrindo React Native, navegacao, mobile. Traz um exemplo do inicio ao fim.",Mobile,Multiplataforma
Resumo da aula,"Um guia passo a passo sobre armazenamento local no dispositivo, com foco em SQLite, mobile, persistencia. Traz um exemplo do inicio ao fim. O conteudo tambem aborda consultas SQL com JOIN, mencionando SQL, JOIN, consultas.",Banco de Dados,SQL
Introducao a analise exploratoria de dados,"Documentacao sobre analise exploratoria de dados. Principais topicos: Python, Pandas, EDA. O conteudo traz exemplos praticos.",Ciencia de Dados,Analise de Dados
Como funciona validacao cruzada e overfitting,"Documentacao validacao e overfitting. Principais validacao cruzada, overfitting, generalizacao. Inclui para aprofundamento.",Ciencia de Dados,Avaliacao de Modelos
Tutorial versionamento de APIs,"Um guia a sobre versionamento de APIs, com foco em API REST, boas praticas, documentacao. Inclui referencias para aprofundamento.",Backend,APIs e Servicos
Guia modelos de classificacao supervisionada,"Neste conteudo sao os conceitos basicos de modelos de classificacao supervisionada. Sao abordados temas como Scikit-Learn, classificacao, machine learning. Sao erros e como evita-los. O conteudo tambem aborda analise exploratoria de dados, mencionando Python, Pandas, EDA.",Inteligencia Artificial,Machine Learning
Material de apoio,"Para entender containerizacao de aplicacoes com Docker, imagine o seguinte: trata-se de algo relacionado a Docker, containers, deploy. Sao discutidos erros comuns e como evita-los.",DevOps e Cloud,Containers
Resumo: validacao cruzada e overfitting,"Vamos falar sobre validacao cruzada e overfitting de um jeito facil. A ideia central passa por validacao cruzada, overfitting, generalizacao. Sao discutidos erros comuns e como evita-los.",Ciencia de Dados,Avaliacao de Modelos
Resumo: transacoes e integridade de dados,Vamos falar sobre transacoes e integridade de dados de um jeito facil.,Banco de Dados,Modelagem
Anotacoes sobre consumo de APIs no navegador,"Muita gente tem duvida sobre consumo de APIs no navegador. Na pratica, tudo gira em torno de JavaScript, fetch, API REST. Inclui referencias para aprofundamento.",Frontend,Integracao
Tutorial validacao cruzada e overfitting,"Muita gente tem duvida sobre validacao cruzada e overfitting. Na pratica, tudo gira em torno de validacao cruzada, overfitting, generalizacao. Traz um exemplo do inicio ao fim.",Ciencia de Dados,Avaliacao de Modelos
Como funciona consultas SQL com JOIN,"Este material aprofunda o tema de consultas SQL com JOIN, cobrindo SQL, JOIN, consultas. O conteudo tambem aborda criacao de servicos com FastAPI, mencionando Python, FastAPI, API REST.",Backend,APIs e Servicos
Guia armazenamento de objetos na nuvem,"Para entender armazenamento de objetos na nuvem, imagine o seguinte: trata-se de algo relacionado a OCI, Object Storage, cloud. Ao final ha exercicios propostos.",DevOps e Cloud,Cloud
Como funciona versionamento de codigo com Git,"Voce ja parou para pensar em versionamento de codigo com Git? De forma simples, e um tema que envolve Git, versionamento, colaboracao. Inclui referencias para aprofundamento.",DevOps e Cloud,Automacao
Tutorial validacao cruzada e overfitting,"Vamos falar sobre validacao cruzada e overfitting de um jeito facil. A ideia central passa por validacao cruzada, overfitting, generalizacao. Ao final ha exercicios propostos. O conteudo tambem aborda controle de acesso e permissoes, mencionando seguranca, autorizacao, roles.",Ciencia de Dados,Avaliacao de Modelos
Anotacoes de estudo,"Este material tema de testes em mobile, cobrindo testes, mobile, qualidade. Sao discutidos erros comuns e",Mobile,Boas Praticas Mobile
Resumo: arquitetura de microsservicos,Documentacao sobre arquitetura de microsservicos.,Backend,Arquitetura
Como funciona construcao de dashboards,"Muita gente tem duvida sobre construcao de dashboards. Na pratica, tudo gira em torno de dashboard, visualizacao, BI. Ao final ha exercicios propostos.",Ciencia de Dados,Visualizacao
Entendendo gerenciamento de estado,"Um guia passo a passo sobre gerenciamento estado, com foco em React, Redux, estado. O material e voltado para iniciantes.",Frontend,Componentes e Estado
O que e similaridade textual entre documentos,"Neste conteudo sao apresentados os conceitos basicos de similaridade textual entre documentos. abordados temas como similaridade, NLP. O material e voltado para",Inteligencia Artificial,Processamento de Linguagem Natural
Como funciona responsividade e mobile first,"Este material aprofunda tema de responsividade e mobile first, cobrindo CSS, responsivo, UX. conteudo traz exemplos O conteudo tambem aborda modelagem dimensional para BI, mencionando data warehouse, BI, modelagem.",Banco de Dados,Modelagem
Guia modelagem relacional,"Documentacao sobre modelagem relacional. Principais topicos: modelagem, normalizacao, SQL. Ao final ha exercicios propostos.",Banco de Dados,Modelagem
Conteudo complementar,"Este material aprofunda o tema de funcoes de agregacao e agrupamento, cobrindo SQL, GROUP BY, agregacao. O conteudo traz exemplos praticos.",Banco de Dados,SQL
Guia pipelines de integracao continua,"Este material aprofunda o tema de pipelines de integracao continua, cobrindo CI/CD, automacao, GitHub Actions. Ao final ha exercicios propostos.",DevOps e Cloud,Automacao
Como funciona introducao a redes neurais,"Vamos falar sobre introducao a redes neurais de um jeito facil. A ideia central passa por redes neurais, deep learning, neuronios. Sao discutidos erros comuns e como evita-los.",Inteligencia Artificial,Deep Learning
O que e gerenciamento de estado,"Vamos falar sobre gerenciamento de estado de um jeito facil. A ideia central passa por React, Redux, estado. Sao discutidos erros comuns e como evita-los.",Frontend,Componentes e Estado
Introducao a engenharia de atributos,"Voce ja parou para pensar em engenharia de atributos? De forma simples, e um tema que envolve feature engineering, Pandas, modelagem. O material e voltado para iniciantes.",Ciencia de Dados,Analise de Dados
Anotacoes de estudo,"Vamos falar sobre filas de mensagens com RabbitMQ de um jeito facil. A ideia central passa por RabbitMQ, mensageria, assincrono. Traz um exemplo do inicio ao fim.",Backend,Arquitetura
Entendendo visualizacao de dados,"Neste conteudo sao apresentados os conceitos basicos de visualizacao de dados. Sao abordados temas como Matplotlib, Seaborn, graficos. O conteudo traz exemplos praticos.",Ciencia de Dados,Visualizacao
Como funciona injecao de dependencias,"Muita gente tem duvida sobre injecao de dependencias. Na pratica, tudo gira em torno de Spring, arquitetura, boas praticas. O material e voltado para iniciantes.",Backend,Arquitetura
Tutorial testes em aplicacoes mobile,"Este material aprofunda o tema de testes em aplicacoes mobile, cobrindo testes, mobile, qualidade. Traz um exemplo do inicio ao fim.",Mobile,Boas Praticas Mobile
Entendendo funcoes serverless,Vamos falar sobre funcoes serverless de um jeito facil.,DevOps e Cloud,Cloud
O que e armazenamento local no dispositivo,"Muita gente tem duvida sobre armazenamento local no dispositivo. Na pratica, tudo gira em torno de persistencia. ha exercicios propostos.",Mobile,Boas Praticas Mobile
Anotacoes sobre controle de acesso e permissoes,"Para entender controle de acesso e permissoes, imagine o seguinte: trata-se de algo relacionado a seguranca, autorizacao, roles.",Backend,Autenticacao e Seguranca
Tutorial agrupamento com KMeans,"Voce ja parou para pensar em agrupamento com KMeans? De forma simples, e um tema que envolve KMeans, clusterizacao, nao supervisionado. O conteudo traz exemplos praticos.",Inteligencia Artificial,Machine Learning
Como funciona responsividade e mobile first,"Um guia passo a passo sobre responsividade e mobile first, com foco em CSS, responsivo, UX. O conteudo traz exemplos praticos.",Frontend,Estilizacao e Layout
Anotacoes sobre visao computacional com CNNs,"Neste conteudo sao apresentados os conceitos basicos de visao computacional com CNNs. Sao temas como visao computacional, imagens. O traz exemplos praticos.",Inteligencia Artificial,Deep Learning
Resumo da aula,"Para entender limpeza e tratamento de dados, imagine o seguinte: trata-se de algo relacionado a Pandas, pre-processamento, qualidade de dados. Sao discutidos erros comuns e como evita-los.",Ciencia de Dados,Analise de Dados
Resumo: processamento de linguagem natural,"Um guia passo a passo sobre processamento de linguagem natural, com foco em NLP, texto, linguagem. O conteudo tambem aborda filas de mensagens com RabbitMQ, mencionando RabbitMQ, mensageria, assincrono.",Backend,Arquitetura
Entendendo o que e machine learning e como funciona,"Neste conteudo sao apresentados os conceitos basicos de o que e machine learning e como funciona. Sao abordados temas como machine learning, aprendizado, modelos. Inclui referencias para aprofundamento.",Inteligencia Artificial,Machine Learning
